"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BMH6BGV6","journalArticle","2019","VanderWeele, Tyler J.","Principles of Confounder Selection","European Journal of Epidemiology","","","https://doi.org/10.1007/s10654-019-00494-6","","Selecting an appropriate set of confounders for which to control is critical for reliable causal inference. Recent theoretical and methodological developments have helped clarify a number of principles of confounder selection. When complete knowledge of a causal diagram relating all covariates to each other is available, graphical rules can be used to make deci- sions about covariate control. Unfortunately, such complete knowledge is often unavailable. This paper puts forward a prac- tical approach to confounder selection decisions when the somewhat less stringent assumption is made that knowledge is available for each covariate whether it is a cause of the exposure, and whether it is a cause of the outcome. Based on recent theoretically justified developments in the causal inference literature, the following proposal is made for covariate control decisions: control for each covariate that is a cause of the exposure, or of the outcome, or of both; exclude from this set any variable known to be an instrumental variable; and include as a covariate any proxy for an unmeasured variable that is a common cause of both the exposure and the outcome. Various principles of confounder selection are then further related to statistical covariate selection methods.","2019","2023-10-24 13:19:06","2023-10-24 13:22:04","","211-219","","","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E282TTHE","journalArticle","2020","Loh, Wen Wei and Vansteelandt, Stijn","Confounder selection strategies targeting stable treatment effect estimators","Statistics in Medicine","","","10.1002/sim.8792","","Inferring the causal effect of a treatment on an outcome in an observational study requires adjusting for observed baseline confounders to avoid bias. How- ever, adjusting for all observed baseline covariates, when only a subset are confounders of the effect of interest, is known to yield potentially inefficient and unstable estimators of the treatment effect. Furthermore, it raises the risk of finite-sample bias and bias due to model misspecification. For these stated reasons, confounder (or covariate) selection is commonly used to determine a subset of the available covariates that is sufficient for confounding adjustment. In this article, we propose a confounder selection strategy that focuses on sta- ble estimation of the treatment effect. In particular, when the propensity score (PS) model already includes covariates that are sufficient to adjust for confound- ing, then the addition of covariates that are associated with either treatment or outcome alone, but not both, should not systematically change the effect esti- mator. The proposal, therefore, entails first prioritizing covariates for inclusion in the PS model, then using a change-in-estimate approach to select the smallest adjustment set that yields a stable effect estimate. The ability of the proposal to correctly select confounders, and to ensure valid inference of the treatment effect following data-driven covariate selection, is assessed empirically and compared with existing methods using simulation studies. We demonstrate the proce- dure using three different publicly available datasets commonly used for causal inference.","2020","2023-10-24 13:22:05","2023-10-24 13:25:37","","607-630","","3","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJACJ7QW","journalArticle","2014","Elizabeth J. Williamson, Zoe Aitken, Jock Lawrie, Shyamali C. Dharmage, John A. Burgess, Andrew B. Forbes","Introduction to causal diagrams for confounder selection","Respirology","","","https://doi.org/10.1111/resp.12238","","In respiratory health research, interest often lies in estimating the effect of an exposure on a health outcome. If randomization of the exposure of interest is not possible, estimating its effect is typically complicated by confounding bias. This can often be dealt with by controlling for the variables causing the confounding, if measured, in the statistical analysis. Common statistical methods used to achieve this include multivariable regression models adjusting for selected confounding variables or stratification on those variables. Therefore, a key question is which measured variables need to be controlled for in order to remove confounding. An approach to confounder-selection based on the use of causal diagrams (often called directed acyclic graphs) is discussed. A causal diagram is a visual representation of the causal relationships believed to exist between the variables of interest, including the exposure, outcome and potential confounding variables. After creating a causal diagram for the research question, an intuitive and easy-to-use set of rules can be applied, based on a foundation of rigorous mathematics, to decide which measured variables must be controlled for in the statistical analysis in order to remove confounding, to the extent that is possible using the available data. This approach is illustrated by constructing a causal diagram for the research question: ‘Does personal smoking affect the risk of subsequent asthma?’. Using data taken from the Tasmanian Longitudinal Health Study, the statistical analysis suggested by the causal diagram approach was performed.","2014","2023-10-24 13:26:17","2023-10-24 13:27:23","","303-311","","3","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X3RT8PLM","journalArticle","2014","Alexandre Belloni and Victor Chernozhukov and Christian Hansen","High-Dimensional Methods and Inference on Structural and Treatment Effects","Journal of Economic Perspectives","","","10.1257/jep.28.2.29","","Data with a large number of variables relative to the sample size—""high-dimensional data""—are readily available and increasingly common in empirical economics. High-dimensional data arise through a combination of two phenomena. First, the data may be inherently high dimensional in that many different characteristics per observation are available. For example, the US Census collects information on hundreds of individual characteristics and scanner datasets record transaction-level data for households across a wide range of products. Second, even when the number of available variables is relatively small, researchers rarely know the exact functional form with which the small number of variables enter the model of interest. Researchers are thus faced with a large set of potential variables formed by different ways of interacting and transforming the underlying variables. This paper provides an overview of how innovations in ""data mining"" can be adapted and modified to provide high-quality inference about model parameters. Note that we use the term ""data mining"" in a modern sense which denotes a principled search for ""true"" predictive power that guards against false discovery and overfitting, does not erroneously equate in-sample fit to out-of-sample predictive ability, and accurately accounts for using the same data to examine many different hypotheses or models.","2014","2023-10-30 17:49:12","2023-10-30 17:52:10","","29-50","","2","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UWCQHY2Y","book","2015","Guido W. Imbens and Donald B. Rubin","CAUSAL INFERENCE for Statistics, Social, and Biomedical Sciences: An Introduction","","978-0-521-88588-1","","","","","2015","2023-10-30 17:52:25","2023-12-01 15:09:38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XC9PTW49","book","2020","Many","The 58th Annual Meeting of the Association for Computational Linguistics: Proceedings of the Conference","","978-1-952148-25-5","","","","ACL 2020","2020-07-05","2023-10-30 17:55:07","2023-10-30 17:56:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4I9FDFGK","journalArticle","2023","F. Richard Guo and Qingyuan Zhao","Confounder Selection via Iterative Graph Expansion","arXiv","","","https://doi.org/10.48550/arXiv.2309.06053","http://arxiv.org/abs/2309.06053v2","Confounder selection, namely choosing a set of covariates to control for confounding between a treatment and an outcome, is arguably the most important step in the design of observational studies. Previous methods, such as Pearl’s celebrated back-door criterion, typically require pre-specifying a causal graph, which can often be difficult in practice. We propose an interactive procedure for con- founder selection that does not require pre-specifying the graph or the set of observed variables. This procedure iteratively expands the causal graph by finding what we call “primary adjustment sets” for a pair of possibly confounded variables. This can be viewed as inverting a sequence of latent projec- tions of the underlying causal graph. Structural information in the form of primary adjustment sets is elicited from the user, bit by bit, until either a set of covariates are found to control for confounding or it can be determined that no such set exists. Other information, such as the causal relations between confounders, is not required by the procedure. We show that if the user correctly specifies the primary adjustment sets in every step, our procedure is both sound and complete.","2023-10","2023-10-31 16:17:45","2024-01-29 15:05:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52SPTGDG","journalArticle","1999","Greenland, Sander and Robins, James M. and Pearl, Judea","Confounding and Collapsibility in Causal Inference","Statistical Science","","","https://doi.org/10.1214/ss/1009211805","","Consideration of confounding is fundamental to the design and analysis of causal effects.  Yet, apart from confounding in experimental designs, the topic is given little or no discussion in most statistical texts.  We here provide an overview of confounding and related concepts based on a counterfactual model for causation.  Special attention is given to definitions of counfounding, problems in control of confounding, the relation of confounding to exchangeability and collapsibility and the importance of distinguishing confounding from noncollapsibility.","1999","2023-11-14 13:57:52","2023-11-14 14:04:09","","29-46","","1","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDC7RDA5","journalArticle","2010","Pearl, Judea","An Introduction to Causal Inference","The International Journal of Biostatistics","","","https://doi.org/10.2202/1557-4679.1203","","This paper summarizes recent advances in causal inference and underscores the paradigmatic shifts that must be undertaken in moving from traditional statistical analysis to causal analysis of multivariate data. Special emphasis is placed on the assumptions that underlie all causal inferences, the languages used in formulating those assumptions, the conditional nature of all causal and counterfactual claims, and the methods that have been developed for the assessment of such claims. These advances are illustrated using a general theory of causation based on the Structural Causal Model (SCM) described in Pearl (2000a), which subsumes and unifies other approaches to causation, and provides a coherent mathematical foundation for the analysis of causes and counterfactuals. In particular, the paper surveys the development of mathematical tools for inferring (from a combination of data and assumptions) answers to three types of causal queries: those about (1) the effects of potential interventions (2) probabilities of counterfactuals, and (3) direct and indirect effects (also known as “mediation”). Finally, the paper defines the formal and conceptual relationships between the structural and potential-outcome frameworks and presents tools for a symbiotic analysis that uses the strong features of both. The tools are demonstrated in the analyses of mediation, causes of effects, and probabilities of causation.","2010","2023-11-14 14:04:33","2023-11-14 14:10:12","","","","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46P53L92","journalArticle","2014","Lee, Paul H.","Should we adjust for a confounder if empirical and theoretical criteria yield contradictory results? A simulation study","Scientific Reports","","","https://doi.org/10.1038/srep06085","","Confounders can be identified by one of two main strategies: empirical or theoretical. Although confounder identification strategies that combine empirical and theoretical strategies have been proposed, the need for adjustment remains unclear if the empirical and theoretical criteria yield contradictory results due to random error. We simulated several scenarios to mimic either the presence or the absence of a confounding effect and tested the accuracy of the exposure-outcome association estimates with and without adjustment. Various criteria (significance criterion, Change-in-estimate(CIE) criterion with a 10% cutoff and with a simulated cutoff) were imposed, and a range of sample sizes were trialed. In the presence of a true confounding effect, unbiased estimates were obtained only by using the CIE criterion with a simulated cutoff. In the absence of a confounding effect, all criteria performed well regardless of adjustment. When the confounding factor was affected by both exposure and outcome, all criteria yielded accurate estimates without adjustment, but the adjusted estimates were biased. To conclude, theoretical confounders should be adjusted for regardless of the empirical evidence found. The adjustment for factors that do not have a confounding effect minimally effects. Potential confounders affected by both exposure and outcome should not be adjusted for.","2014","2023-11-14 14:10:35","2023-11-14 14:12:51","","","","6085","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DI4P4U7Y","journalArticle","2016","Lee, Paul H. and Burstyn, Igor","Identification of confounder in epidemiologic data contaminated by measurement error in covariates","BMC Medical Research Methodology","","","https://doi.org/10.1186/s12874-016-0159-6","","Background: Common methods for confounder identification such as directed acyclic graphs (DAGs), hypothesis testing, or a 10 % change-in-estimate (CIE) criterion for estimated associations may not be applicable due to (a) insufficient knowledge to draw a DAG and (b) when adjustment for a true confounder produces less than 10 % change in observed estimate (e.g. in presence of measurement error). Methods: We compare previously proposed simulation-based approach for confounder identification that can be tailored to each specific study and contrast it with commonly applied methods (significance criteria with cutoff levels of p-values of 0.05 or 0.20, and CIE criterion with a cutoff of 10 %), as well as newly proposed two-stage procedure aimed at reduction of false positives (specifically, risk factors that are not confounders). The new procedure first evaluates potential for confounding by examination of correlation of covariates and applies simulated CIE criteria only if there is evidence of correlation, while rejecting a covariate as confounder otherwise. These approaches are compared in simulations studies with binary, continuous, and survival outcomes. We illustrate the application of our proposed confounder identification strategy in examining the association of exposure to mercury in relation to depression in the presence of suspected confounding by fish intake using the National Health and Nutrition Examination Survey (NHANES) 2009–2010 data. Results: Our simulations showed that the simulation-determined cutoff was very sensitive to measurement error in exposure and potential confounder. The analysis of NHANES data demonstrated that if the noise-to-signal ratio (error variance in confounder/variance of confounder) is at or below 0.5, roughly 80 % of the simulated analyses adjusting for fish consumption would correctly result in a null association of mercury and depression, and only an extremely poorly measured confounder is not useful to adjust for in this setting. Conclusions: No a prior criterion developed for a specific application is guaranteed to be suitable for confounder identification in general. The customization of model-building strategies and study designs through simulations that consider the likely imperfections in the data, as well as finite-sample behavior, would constitute an important improvement on some of the currently prevailing practices in confounder identification and evaluation. Keywords: Causal effect, Change-in-estimate, Confounding, Simulation, Model-selection, Epidemiology","2016","2023-11-14 14:13:14","2023-11-14 14:15:56","","","","54","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8JUZMK6","journalArticle","2016","Westfall, Jacob and Yarkoni, Tai","Statistically Controlling for Confounding Constructs Is Harder than You Think","PLoS ONE","","","https://doi.org/10.1371/journal.pone.0152719","","Social scientists often seek to demonstrate that a construct has incremental validity over and above other related constructs. However, these claims are typically supported by measurement-level models that fail to consider the effects of measurement (un)reliability. We use intuitive examples, Monte Carlo simulations, and a novel analytical framework to demonstrate that common strategies for establishing incremental construct validity using multiple regression analysis exhibit extremely high Type I error rates under parameter regimes common in many psychological domains. Counterintuitively, we find that error rates are highest—in some cases approaching 100%—when sample sizes are large and reliability is moderate. Our findings suggest that a potentially large proportion of incremental validity claims made in the literature are spurious. We present a web application (http://jakewestfall.org/ivy/) that readers can use to explore the statistical properties of these and other incremental validity arguments. We conclude by reviewing SEM-based statistical approaches that appropriately control the Type I error rate when attempting to establish incremental validity.","2016","2023-11-14 14:16:11","2023-11-14 14:18:15","","","","3","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6VEF5K2P","journalArticle","2017","Schuler, Megan S. and Rose, Sherri","Targeted Maximum Likelihood Estimation for Causal Inference in Observational Studies","American Journal of Epidemiology","","","https://doi.org/10.1093/aje/kww165","","Estimation of causal effects using observational data continues to grow in popularity in the epidemiologic liter- ature. While many applications of causal effect estimation use propensity score methods or G-computation, tar- geted maximum likelihood estimation (TMLE) is a well-established alternative method with desirable statistical properties. TMLE is a doubly robust maximum-likelihood–based approach that includes a secondary “targeting” step that optimizes the bias-variance tradeoff for the target parameter. Under standard causal assumptions, estimates can be interpreted as causal effects. Because TMLE has not been as widely implemented in epidemi- ologic research, we aim to provide an accessible presentation of TMLE for applied researchers. We give step- by-step instructions for using TMLE to estimate the average treatment effect in the context of an observational study. We discuss conceptual similarities and differences between TMLE and 2 common estimation approaches (G-computation and inverse probability weighting) and present findings on their relative performance using simu- lated data. Our simulation study compares methods under parametric regression misspecification; our results highlight TMLE’s property of double robustness. Additionally, we discuss best practices for TMLE implementa- tion, particularly the use of ensembled machine learning algorithms. Our simulation study demonstrates all methods using super learning, highlighting that incorporation of machine learning may outperform parametric regression in observational data settings.","2017-01","2023-11-14 14:18:17","2024-01-29 15:06:29","","65-73","","1","185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GQ93M7I","journalArticle","2019","Many","Control of Confounding and Reporting of Results in Causal Inference Studies. Guidance for Authors from Editors of Respiratory, Sleep, and Critical Care Journals","Ann Am Thorac Soc","","","https://doi.org/10.1513/annalsats.201808-564ps","","The 21st century has brought with it a welcome call for increased rigor in observational research methods. It is not that observational research methods are inherently flawed—they are not.  Observational studies can contribute valuable evidence supporting causal associations when designed and conducted using rigorous methods. The “flaws” are a result of reliance on outdated methodology, inadequate attention to threats to validity (such as confounding), opaque reporting of results, lack of replication, and a failure to interpret findings within the context of the limitations of observational research methodology.  Aware of this situation and influenced by our experience as journal editors, we convened an ad hoc group of 47 editors of 35 respiratory, sleep, and critical care journals to offer guidance to authors, peer reviewers, and researchers on the design and reporting of observational causal inference studies. This guidance takes the form of a call for investigators to consider making major changes to their approach to such studies. This document represents our current best understanding of approaches to causal inference, an active area of research.  We anticipate that best practice in this, as in any scientific endeavor, will continue to evolve, requiring this document to be updated every 5 to 10 years. We believe these changes will increase the rigor, validity, and value of the work we publish in our journals.","2019-01","2023-11-14 14:30:55","2023-11-14 14:36:05","","22-28","","1","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YETR3UXP","journalArticle","2021","Many","Use of directed acyclic graphs (DAGs) to identify confounders in applied health research: review and recommendations","International Journal of Epidemiology","","","https://doi.org/10.1093/ije/dyaa213","","Background: Directed acyclic graphs (DAGs) are an increasingly popular approach for identifying confounding variables that require conditioning when estimating causal effects. This review examined the use of DAGs in applied health research to inform rec- ommendations for improving their transparency and utility in future research. Methods: Original health research articles published during 1999–2017 mentioning ‘di- rected acyclic graphs’ (or similar) or citing DAGitty were identified from Scopus, Web of Science, Medline and Embase. Data were extracted on the reporting of: estimands, DAGs and adjustment sets, alongside the characteristics of each article’s largest DAG. Results: A total of 234 articles were identified that reported using DAGs. A fifth (n ¼ 48, 21%) reported their target estimand(s) and half (n ¼ 115, 48%) reported the adjustment set(s) implied by their DAG(s). Two-thirds of the articles (n ¼ 144, 62%) made at least one DAG available. DAGs varied in size but averaged 12 nodes [interquartile range (IQR): 9–16, range: 3–28] and 29 arcs (IQR: 19–42, range: 3–99). The median saturation (i.e. per- centage of total possible arcs) was 46% (IQR: 31–67, range: 12–100). 37% (n ¼ 53) of the DAGs included unobserved variables, 17% (n ¼ 25) included ‘super-nodes’ (i.e. nodes containing more than one variable) and 34% (n ¼ 49) were visually arranged so that the constituent arcs flowed in the same direction (e.g. top-to-bottom). Conclusion: There is substantial variation in the use and reporting of DAGs in applied health research. Although this partly reflects their flexibility, it also highlights some po- tential areas for improvement. This review hence offers several recommendations to im- prove the reporting and use of DAGs in future research.","2021","2023-11-14 14:36:43","2023-11-14 14:39:39","","620-632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TLHRMI5","journalArticle","2023","Zawadski, Roy S. and Grill, Joshua D. and Gillen, Daniel L. and ""and for the Alzheimer's Disease Neuroimaging Initiative""","Framework for estimating causal effects in observational settings: comparing confounder adjustment and instrumental variables","BMC Medical Research Methodology","","","https://doi.org/10.1186/s12874-023-01936-2","","To estimate causal effects, analysts performing observational studies in health settings utilize several strategies to mitigate bias due to confounding by indication. There are two broad classes of approaches for these purposes: use of confounders and instrumental variables (IVs). Because such approaches are largely characterized by untestable assumptions, analysts must operate under an indefinite paradigm that these methods will work imperfectly. In this tutorial, we formalize a set of general principles and heuristics for estimating causal effects in the two approaches when the assumptions are potentially violated. This crucially requires reframing the process of observational studies as hypothesizing potential scenarios where the estimates from one approach are less inconsistent than the other. While most of our discussion of methodology centers around the linear setting, we touch upon complexities in non-linear settings and flexible procedures such as target minimum loss-based estimation and double machine learning. To demonstrate the application of our principles, we investigate the use of donepezil off-label for mild cognitive impairment. We compare and contrast results from confounder and IV methods, traditional and flexible, within our analysis and to a similar observational study and clinical trial.","2023","2023-11-14 14:42:00","2023-11-14 14:44:47","","","","122","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XM4BK87E","journalArticle","","Hazelwinkel, Audinga-Dea","Identifying and adjusting for bias due to missing outcome values in randomised controlled trials","Open Access","","","","https://hdl.handle.net/1983/473160e5-d075-47b0-9e0e-3af523f287f6","Randomised controlled trials are considered the gold standard for assessing the causal effect of an intervention on an outcome, but remain vulnerable to bias, for example due to dropout. When outcomes are missing not at random (MNAR), the estimated treatment effect will be biased when missingness is ignored, as in a complete case analysis (CCA), but also when using methods that assume outcomes are missing at random (MAR), such as multiple imputation. The National Research Council and European Medical Agency recommend assessing the robust- ness of the main analysis by performing sensitivity analyses under a range of plausible alternative MNAR assumptions, using pattern mixture models (PMMs) and selection models (SMs). The Cochrane Collaboration advise assessing the risk of MNAR bias by checking for differential dropout, while other sources additionally recommend examining the distribution of baseline co- variates across trial arms in the observed data. However, these guidelines are rarely implemented in practice. Within this thesis, I aimed to develop novel markers of MNAR dropout and sensitivity analyses that could be adopted to assess and account for the risk of bias. In all chapters, I describe the methods and apply these to multiple trials. In Chapter 2, I propose using observed differences in outcome variance between trial arms as a marker of MNAR dropout. In Chapter 3, I investigate additional potential markers of MNAR dropout across various dropout scenarios, showing that existing risk-of-bias tools are not conclusive. I propose additional markers that can be used in concert to assess the risk of MNAR dropout. In Chapter 4, I consider the trimmed means (TM) estimator, which estimates the treatment effect using data remaining after trimming equal fractions of both groups. I propose using this estimator as simpler alternative to PMM and SM sensitivity analyses and derive formulae for establishing the direction of bias of CCA and TM estimates.","","2023-11-14 14:44:53","2023-11-14 14:47:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNJDG8VG","report","2010","Lynn, Peter and Kaminska, Olena","Weighting Strategy for Understanding Society","","","","","","This paper outlines the strategy for the development and provision of analysis weights for Understanding Society. The strategy is placed within the context of a number of practical and statistical issues that arise when a survey has such a complex design involving multiple waves, samples, instruments and analysis bases. A fundamental issue considered is for which data subsets weights should be produced, where a subset may be defined by a combination of waves, instruments and samples. Secondary issues concern the auxiliary data for non-response adjustment and post-stratification, the modelling methods, and the subsequent weight calculation methods. There are also important considerations relating to documentation, access and user support.","2010-11","2023-11-17 14:18:40","2023-11-17 14:35:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JH8UDKLA","journalArticle","2013","Thomas S. Richardson and James M. Robins","Single World Intervention Graphs (SWIGs): A Unification of the Counterfactual and Graphical Approaches to Causality","Working Paper","","","","","We present a simple graphical theory unifying causal directed acyclic graphs (DAGs) and potential (aka counterfactual) outcomes via a node-splitting transformation. We introduce a new graph, the Single-World Intervention Graph (SWIG). The SWIG encodes the counterfactual independences as- sociated with a specific hypothetical intervention on the set of treatment variables. The nodes on the SWIG are the corresponding counterfactual random variables. We illustrate the theory with a number of examples. Our graphical theory of SWIGs may be used to infer the counterfactual indepen- dence relations implied by the counterfactual models developed in Robins (1986, 1987). Moreover, in the absence of hidden variables, the joint dis- tribution of the counterfactuals is identified; the identifying formula is the extended g-computation formula introduced in (Robins et al., 2004). Al- though Robins (1986, 1987) did not use DAGs we translate his algebraic results to facilitate understanding of this prior work. An attractive feature of Robins’ approach is that it largely avoids making counterfactual inde- pendence assumptions that are experimentally untestable. As an important illustration we revisit the critique of Robins’ g-computation given in (Pearl, 2009, Ch. 11.3.7); we use SWIGs to show that all of Pearl’s claims are either erroneous or based on misconceptions. We also show that simple extensions of the formalism may be used to accommodate dynamic regimes, and to formulate non-parametric structural equation models in which assumptions relating to the absence of direct ef- fects are formulated at the population level. Finally, we show that our graphical theory also naturally arises in the context of an expanded causal Bayesian network in which we are able to observe the natural state of a variable prior to intervention.","2013-04","2023-11-17 14:22:11","2023-11-17 14:26:07","","","","","128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"THTI4Z45","journalArticle","2022","Maya B. Mathur","The M-Value: A Simple Sensitivity Analysis for Bias Due to Missing Data in Treatment Effect Estimates","American Journal of Epidemiology","","","https://doi.org/10.1093/aje/kwac207","","Complete-case analyses can be biased if missing data are not missing completely at random. We propose simple sensitivity analyses that apply to complete-case estimates of treatment effects; these analyses use only simple summary data and obviate specifying the precise mechanism of missingness and making distributional assumptions. Bias arises when treatment effects differ between retained and nonretained participants or, among retained participants, the estimate is biased because conditioning on retention has induced a noncausal path between the treatment and outcome. We thus bound the overall treatment effect on the difference scale by specifying: 1) the unobserved treatment effect among nonretained participants; and 2) the strengths of association that unobserved variables have with the exposure and with the outcome among retained participants (“induced confounding associations”). Working with the former sensitivity parameter subsumes certain existing methods of worst-case imputation while also accommodating less-conservative assumptions (e.g., that the treatment is not detrimental on average even among nonretained participants). As an analog to the E-value for confounding, we propose the M-value, which represents, for a specified treatment effect among nonretained participants, the strength of induced confounding associations required to reduce the treatment effect to the null or to any other value. These methods could help characterize the robustness of complete-case analyses to potential bias due to missing data.","2022-12","2023-11-17 14:26:23","2023-11-17 14:27:49","","","","4","192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GMP4MWK","journalArticle","2023","Maya B. Mathur and Ilya Shpitser and Tyler J. VanderWeele","A common-cause principle for eliminating selection bias in causal estimands through covariate adjustment","OSF Preprints","","","https://doi.org/10.31219/osf.io/ths4e","","Average treatment effects (ATEs) may be subject to selection bias when they are estimated among only a non-representative subset of the target population. Selection bias can sometimes be eliminated by conditioning on a “sufficient adjustment set” of covariates, even for some forms of missingness not at random (MNAR). Without requiring full specification of the causal structure, we consider sufficient adjustment sets to allow nonparametric identification of conditional ATEs in the target population. Covariates in the sufficient set may be collected among only the selected sample. We establish that if a sufficient set exists, then the set consisting of common causes of the outcome and selection, excluding the exposure and its descendants, also suffices. We establish simple graphical criteria for when a sufficient set will not exist, which could help indicate whether this is plausible for a given study. Simulations considering selection due to missing data indicated that sufficiently-adjusted complete-case analysis (CCA) can considerably outperform multiple imputation under MNAR and, if the sample size is not large, sometimes even under missingness at random. Analogous to the common-cause principle for confounding, these sufficiency results clarify when and how selection bias can be eliminated through covariate adjustment.","2023","2023-11-17 14:28:09","2023-11-17 14:34:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6P9QQKRT","journalArticle","","Maya B. Mathur and Ilya Shpitser","Simple graphical rules to assess selection bias in general-population and selected-sample treatment effects","American Journal of Epidemiology","","","https://doi.org/10.31219/osf.io/65dju","","When analyzing a selected sample from a general population, selection bias can arise relative to the causal average treatment effect (ATE) for the general population, and also relative to the ATE for the selected sample itself. We provide simple graphical rules that indicate: (1) if a selected-sample analysis will be unbiased for each ATE; (2) whether adjusting for certain covariates could eliminate selection bias. The rules can easily be checked in a standard single-world intervention graph. When the treatment could affect selection, a third estimand of potential scientific interest is the “net treatment difference”, namely the net change in outcomes that would occur for the selected sample if all members of the general population were treated versus not treated, including any effects of the treatment on which individuals are in the selected sample. We provide graphical rules for this estimand as well. We decompose bias in a selected-sample analysis relative to the general-population ATE into: (1) “internal bias” relative to the net treatment difference; (2) “net-external bias”, a discrepancy between the net treatment difference and the general-population ATE. Each bias can be assessed unambiguously via a distinct graphical rule, providing new conceptual insight into the mechanisms by which certain causal structures produce selection bias.","","2023-11-17 14:30:51","2023-11-17 14:33:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
