PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28991001","Using Super Learner Prediction Modeling to Improve High-dimensional Propensity Score Estimation","Wyss R, Schneeweiss S, van der Laan M, Lendle SD, Ju C, Franklin JM.","Epidemiology. 2018 Jan;29(1):96-106. doi: 10.1097/EDE.0000000000000762.","Wyss R","Epidemiology","2018","2017/10/10","","","10.1097/EDE.0000000000000762"
"34369220","The change in estimate method for selecting confounders: A simulation study","Talbot D, Diop A, Lavigne-Robichaud M, Brisson C.","Stat Methods Med Res. 2021 Sep;30(9):2032-2044. doi: 10.1177/09622802211034219. Epub 2021 Aug 9.","Talbot D","Stat Methods Med Res","2021","2021/08/09","PMC8424612","","10.1177/09622802211034219"
"27413128","Best (but oft-forgotten) practices: propensity score methods in clinical nutrition research","Ali MS, Groenwold RH, Klungel OH.","Am J Clin Nutr. 2016 Aug;104(2):247-58. doi: 10.3945/ajcn.115.125914. Epub 2016 Jul 13.","Ali MS","Am J Clin Nutr","2016","2016/07/15","","","10.3945/ajcn.115.125914"
"2247714","Model selection and the estimation of odds ratios in the presence of extraneous factors","Schall R, Zucchini W.","Stat Med. 1990 Oct;9(10):1131-41. doi: 10.1002/sim.4780091003.","Schall R","Stat Med","1990","1990/10/01","","","10.1002/sim.4780091003"
"31231143","A ROBUST AND EFFICIENT APPROACH TO CAUSAL INFERENCE BASED ON SPARSE SUFFICIENT DIMENSION REDUCTION","Ma S, Zhu L, Zhang Z, Tsai CL, Carroll RJ.","Ann Stat. 2019 Jun;47(3):1505-1535. doi: 10.1214/18-AOS1722. Epub 2019 Feb 13.","Ma S","Ann Stat","2019","2019/06/25","PMC6588012","NIHMS1019361","10.1214/18-AOS1722"
"19087314","Purposeful selection of variables in logistic regression","Bursac Z, Gauss CH, Williams DK, Hosmer DW.","Source Code Biol Med. 2008 Dec 16;3:17. doi: 10.1186/1751-0473-3-17.","Bursac Z","Source Code Biol Med","2008","2008/12/18","PMC2633005","","10.1186/1751-0473-3-17"
"26774613","Model selection for identifying power-law scaling","Ton R, Daffertshofer A.","Neuroimage. 2016 Aug 1;136:215-26. doi: 10.1016/j.neuroimage.2016.01.008. Epub 2016 Jan 14.","Ton R","Neuroimage","2016","2016/01/18","","","10.1016/j.neuroimage.2016.01.008"
"34388676","A case-cohort study of perinatal exposure to potential endocrine disrupters and the risk of cryptorchidism in the Norwegian HUMIS study","Desalegn AA, Iszatt N, Stigum H, Jensen TK, Eggesbø M.","Environ Int. 2021 Dec;157:106815. doi: 10.1016/j.envint.2021.106815. Epub 2021 Aug 10.","Desalegn AA","Environ Int","2021","2021/08/13","","","10.1016/j.envint.2021.106815"
"36248675","Annual variation in breeding success in boreal forest grouse: Four decades of monitoring reveals bottom-up drivers to be more important than predation","Wegge P, Moss R, Rolstad J.","Ecol Evol. 2022 Oct 9;12(10):e9327. doi: 10.1002/ece3.9327. eCollection 2022 Oct.","Wegge P","Ecol Evol","2022","2022/10/17","PMC9548575","","10.1002/ece3.9327"
"26660276","Incorporating Genetic Heterogeneity in Whole-Genome Regressions Using Interactions","de Los Campos G, Veturi Y, Vazquez AI, Lehermeier C, Pérez-Rodríguez P.","J Agric Biol Environ Stat. 2015;20(4):467-490. doi: 10.1007/s13253-015-0222-5. Epub 2015 Nov 9.","de Los Campos G","J Agric Biol Environ Stat","2015","2015/12/15","PMC4666286","","10.1007/s13253-015-0222-5"
"24678134","Some Statistical Strategies for DAE-seq Data Analysis: Variable Selection and Modeling Dependencies among Observations","Rashid NU, Sun W, Ibrahim JG.","J Am Stat Assoc. 2014 Jan 1;109(505):78-94. doi: 10.1080/01621459.2013.869222.","Rashid NU","J Am Stat Assoc","2014","2014/03/29","PMC3963211","NIHMS546605","10.1080/01621459.2013.869222"
"28992037","Selecting Shrinkage Parameters for Effect Estimation: The Multi-Ethnic Study of Atherosclerosis","Keller JP, Rice KM.","Am J Epidemiol. 2018 Feb 1;187(2):358-365. doi: 10.1093/aje/kwx225.","Keller JP","Am J Epidemiol","2018","2017/10/10","PMC5859997","","10.1093/aje/kwx225"
"37771042","Recent Methodological Trends in Epidemiology: No Need for Data-Driven Variable Selection?","Staerk C, Byrd A, Mayr A.","Am J Epidemiol. 2024 Feb 5;193(2):370-376. doi: 10.1093/aje/kwad193.","Staerk C","Am J Epidemiol","2024","2023/09/29","","","10.1093/aje/kwad193"
"23070806","Variable selection for propensity score models when estimating treatment effects on multiple outcomes: a simulation study","Wyss R, Girman CJ, LoCasale RJ, Brookhart AM, Stürmer T.","Pharmacoepidemiol Drug Saf. 2013 Jan;22(1):77-85. doi: 10.1002/pds.3356. Epub 2012 Oct 16.","Wyss R","Pharmacoepidemiol Drug Saf","2013","2012/10/17","PMC3540180","NIHMS417116","10.1002/pds.3356"
"35308969","State of the Art Causal Inference in the Presence of Extraneous Covariates: A Simulation Study","Cobzaru R, Jiang S, Ng K, Finkelstein S, Welsch R, Shahn Z.","AMIA Annu Symp Proc. 2022 Feb 21;2021:334-342. eCollection 2021.","Cobzaru R","AMIA Annu Symp Proc","2022","2022/03/21","PMC8861734","",""
"26392642","Regularization Methods for High-Dimensional Instrumental Variables Regression With an Application to Genetical Genomics","Lin W, Feng R, Li H.","J Am Stat Assoc. 2015;110(509):270-288. doi: 10.1080/01621459.2014.908125.","Lin W","J Am Stat Assoc","2015","2015/09/23","PMC4573639","NIHMS588538","10.1080/01621459.2014.908125"
"23420565","Determining the Probability Distribution and Evaluating Sensitivity and False Positive Rate of a Confounder Detection Method Applied To Logistic Regression","Bliss R, Weinberg J, Webster T, Vieira V.","J Biom Biostat. 2012 May 23;3(4):142. doi: 10.4172/2155-6180.1000142.","Bliss R","J Biom Biostat","2012","2013/02/20","PMC3571096","NIHMS436276","10.4172/2155-6180.1000142"
"33531345","Using machine learning to estimate the effect of racial segregation on COVID-19 mortality in the United States","Torrats-Espinosa G.","Proc Natl Acad Sci U S A. 2021 Feb 16;118(7):e2015577118. doi: 10.1073/pnas.2015577118.","Torrats-Espinosa G","Proc Natl Acad Sci U S A","2021","2021/02/03","PMC7896347","","10.1073/pnas.2015577118"
"36261873","Landscape genetics across the Andes mountains: Environmental variation drives genetic divergence in the leaf-cutting ant Atta cephalotes","Muñoz-Valencia V, Montoya-Lerma J, Seppä P, Diaz F.","Mol Ecol. 2023 Jan;32(1):95-109. doi: 10.1111/mec.16742. Epub 2022 Nov 1.","Muñoz-Valencia V","Mol Ecol","2023","2022/10/19","","","10.1111/mec.16742"
"25866189","On the role of marginal confounder prevalence - implications for the high-dimensional propensity score algorithm","Schuster T, Pang M, Platt RW.","Pharmacoepidemiol Drug Saf. 2015 Sep;24(9):1004-7. doi: 10.1002/pds.3773. Epub 2015 Apr 10.","Schuster T","Pharmacoepidemiol Drug Saf","2015","2015/04/14","PMC5072887","CAMS5890","10.1002/pds.3773"
"34403296","Comparison of statistical methodologies used to estimate the treatment effect on time-to-event outcomes in observational studies","Jreich R, Sebastien B.","J Biopharm Stat. 2021 Jul 4;31(4):469-489. doi: 10.1080/10543406.2021.1918140. Epub 2021 Aug 17.","Jreich R","J Biopharm Stat","2021","2021/08/17","","","10.1080/10543406.2021.1918140"
"23212810","Network-based regularization for matched case-control analysis of high-dimensional DNA methylation data","Sun H, Wang S.","Stat Med. 2013 May 30;32(12):2127-39. doi: 10.1002/sim.5694. Epub 2012 Dec 5.","Sun H","Stat Med","2013","2012/12/06","PMC4038397","NIHMS482510","10.1002/sim.5694"
"26233956","Regularized Regression Versus the High-Dimensional Propensity Score for Confounding Adjustment in Secondary Database Analyses","Franklin JM, Eddings W, Glynn RJ, Schneeweiss S.","Am J Epidemiol. 2015 Oct 1;182(7):651-9. doi: 10.1093/aje/kwv108. Epub 2015 Aug 1.","Franklin JM","Am J Epidemiol","2015","2015/08/03","","","10.1093/aje/kwv108"
"33003152","Postmyocardial Infarction Statin Exposure and the Risk of Stroke with Weighting for Outcome Misclassification","Gravel CA, Filion KB, Reynier PM, Platt RW.","Epidemiology. 2020 Nov;31(6):880-888. doi: 10.1097/EDE.0000000000001253.","Gravel CA","Epidemiology","2020","2020/10/01","","","10.1097/EDE.0000000000001253"
"25052462","Controlling for seasonal patterns and time varying confounders in time-series epidemiological models: a simulation study","Perrakis K, Gryparis A, Schwartz J, Le Tertre A, Katsouyanni K, Forastiere F, Stafoggia M, Samoli E.","Stat Med. 2014 Dec 10;33(28):4904-18. doi: 10.1002/sim.6271. Epub 2014 Jul 23.","Perrakis K","Stat Med","2014","2014/07/24","","","10.1002/sim.6271"
"32188481","A geographic identifier assignment algorithm with Bayesian variable selection to identify neighborhood factors associated with emergency department visit disparities for asthma","Bozigar M, Lawson A, Pearce J, King K, Svendsen E.","Int J Health Geogr. 2020 Mar 18;19(1):9. doi: 10.1186/s12942-020-00203-7.","Bozigar M","Int J Health Geogr","2020","2020/03/20","PMC7081565","","10.1186/s12942-020-00203-7"
"22364439","Bayesian effect estimation accounting for adjustment uncertainty","Wang C, Parmigiani G, Dominici F.","Biometrics. 2012 Sep;68(3):661-71. doi: 10.1111/j.1541-0420.2011.01731.x. Epub 2012 Feb 24.","Wang C","Biometrics","2012","2012/02/28","","","10.1111/j.1541-0420.2011.01731.x"
"38060567","Performance of modeling and balancing approach methods when using weights to estimate treatment effects in observational time-to-event settings","Barros GWF, Eriksson M, Häggström J.","PLoS One. 2023 Dec 7;18(12):e0289316. doi: 10.1371/journal.pone.0289316. eCollection 2023.","Barros GWF","PLoS One","2023","2023/12/07","PMC10703278","","10.1371/journal.pone.0289316"
"31191033","Modeling determinants of satisfaction with health care in youth with inflammatory bowel disease part 2: semiparametric distributional regression","Otto-Sobotka F, Peplies J, Timmer A.","Clin Epidemiol. 2019 May 16;11:403-417. doi: 10.2147/CLEP.S191458. eCollection 2019.","Otto-Sobotka F","Clin Epidemiol","2019","2019/06/14","PMC6529807","","10.2147/CLEP.S191458"
"29140792","A Bayesian hierarchical model for identifying significant polygenic effects while controlling for confounding and repeated measures","McMahan C, Baurley J, Bridges W, Joyner C, Kacamarga MF, Lund R, Pardamean C, Pardamean B.","Stat Appl Genet Mol Biol. 2017 Nov 27;16(5-6):407-419. doi: 10.1515/sagmb-2017-0044.","McMahan C","Stat Appl Genet Mol Biol","2017","2017/11/16","","","10.1515/sagmb-2017-0044"
"24228784","Relative importance of climatic, geographic and socio-economic determinants of malaria in Malawi","Lowe R, Chirombo J, Tompkins AM.","Malar J. 2013 Nov 14;12:416. doi: 10.1186/1475-2875-12-416.","Lowe R","Malar J","2013","2013/11/16","PMC4225758","","10.1186/1475-2875-12-416"
"27618470","Response moderation models for conditional dependence between response time and response accuracy","Bolsinova M, Tijmstra J, Molenaar D.","Br J Math Stat Psychol. 2017 May;70(2):257-279. doi: 10.1111/bmsp.12076. Epub 2016 Sep 12.","Bolsinova M","Br J Math Stat Psychol","2017","2016/09/13","","","10.1111/bmsp.12076"
"35179704","High-Dimensional Propensity Score-Adjusted Case-Crossover for Discovering Adverse Drug Reactions from Computerized Administrative Healthcare Databases","Volatier E, Salvo F, Pariente A, Courtois É, Escolano S, Tubert-Bitter P, Ahmed I.","Drug Saf. 2022 Mar;45(3):275-285. doi: 10.1007/s40264-022-01148-5. Epub 2022 Feb 18.","Volatier E","Drug Saf","2022","2022/02/18","","","10.1007/s40264-022-01148-5"
"21351315","The role of the c-statistic in variable selection for propensity score models","Westreich D, Cole SR, Funk MJ, Brookhart MA, Stürmer T.","Pharmacoepidemiol Drug Saf. 2011 Mar;20(3):317-20. doi: 10.1002/pds.2074. Epub 2010 Dec 9.","Westreich D","Pharmacoepidemiol Drug Saf","2011","2011/02/26","PMC3081361","NIHMS257916","10.1002/pds.2074"
"33619894","On kernel machine learning for propensity score estimation under complex confounding structures","Zou B, Mi X, Tighe PJ, Koch GG, Zou F.","Pharm Stat. 2021 Jul;20(4):752-764. doi: 10.1002/pst.2105. Epub 2021 Feb 22.","Zou B","Pharm Stat","2021","2021/02/23","PMC8670098","NIHMS1756421","10.1002/pst.2105"
"30796011","Modeling Heterogeneity in the Genetic Architecture of Ethnically Diverse Groups Using Random Effect Interaction Models","Veturi Y, de Los Campos G, Yi N, Huang W, Vazquez AI, Kühnel B.","Genetics. 2019 Apr;211(4):1395-1407. doi: 10.1534/genetics.119.301909. Epub 2019 Feb 22.","Veturi Y","Genetics","2019","2019/02/24","PMC6456318","","10.1534/genetics.119.301909"
"37280547","Association between ambient air pollutants and upper respiratory tract infection and pneumonia disease burden in Thailand from 2000 to 2022: a high frequency ecological analysis","Choo ELW, Janhavi A, Koo JR, Yim SHL, Dickens BL, Lim JT.","BMC Infect Dis. 2023 Jun 6;23(1):379. doi: 10.1186/s12879-023-08185-0.","Choo ELW","BMC Infect Dis","2023","2023/06/06","PMC10242813","","10.1186/s12879-023-08185-0"
"35839910","Assessing urinary phenol and paraben mixtures in pregnant women with and without gestational diabetes mellitus: A case-control study","Chen WJ, Robledo C, Davis EM, Goodman JR, Xu C, Hwang J, Janitz AE, Garwe T, Calafat AM, Peck JD.","Environ Res. 2022 Nov;214(Pt 2):113897. doi: 10.1016/j.envres.2022.113897. Epub 2022 Jul 15.","Chen WJ","Environ Res","2022","2022/07/15","PMC9514543","NIHMS1837943","10.1016/j.envres.2022.113897"
"38521239","Observational Dose-Response Meta-Analysis Methods May Bias Risk Estimates at Low Consumption Levels: The Case of Meat and Colorectal Cancer","Pouzou JG, Zagmutt FJ.","Adv Nutr. 2024 Mar 21;15(5):100214. doi: 10.1016/j.advnut.2024.100214. Online ahead of print.","Pouzou JG","Adv Nutr","2024","2024/03/23","PMC11061242","","10.1016/j.advnut.2024.100214"
"24658540","Selection of higher order regression models in the analysis of multi-factorial transcription data","Prazeres da Costa O, Hoffman A, Rey JW, Mansmann U, Buch T, Tresch A.","PLoS One. 2014 Mar 21;9(3):e91840. doi: 10.1371/journal.pone.0091840. eCollection 2014.","Prazeres da Costa O","PLoS One","2014","2014/03/25","PMC3962375","","10.1371/journal.pone.0091840"
"20937159","Robust tests for matched case-control genetic association studies","Zang Y, Fung WK.","BMC Genet. 2010 Oct 12;11:91. doi: 10.1186/1471-2156-11-91.","Zang Y","BMC Genet","2010","2010/10/13","PMC2964553","","10.1186/1471-2156-11-91"
"37213781","Examining how physician factors influence patient satisfaction during clinical consultations about cancer prognosis and pain","Lou Z, Vivas-Valencia C, Shields CG, Kong N.","PEC Innov. 2022 Jan 5;1:100017. doi: 10.1016/j.pecinn.2022.100017. eCollection 2022 Dec.","Lou Z","PEC Innov","2022","2023/05/22","PMC10194410","","10.1016/j.pecinn.2022.100017"
"33609710","Assessing topological congruence among concatenation-based phylogenomic approaches in empirical datasets","Torres A, Goloboff PA, Catalano SA.","Mol Phylogenet Evol. 2021 Aug;161:107086. doi: 10.1016/j.ympev.2021.107086. Epub 2021 Feb 18.","Torres A","Mol Phylogenet Evol","2021","2021/02/20","","","10.1016/j.ympev.2021.107086"
"17027287","Confounder selection in environmental epidemiology: assessment of health effects of prenatal mercury exposure","Budtz-Jørgensen E, Keiding N, Grandjean P, Weihe P.","Ann Epidemiol. 2007 Jan;17(1):27-35. doi: 10.1016/j.annepidem.2006.05.007. Epub 2006 Oct 5.","Budtz-Jørgensen E","Ann Epidemiol","2007","2006/10/10","","","10.1016/j.annepidem.2006.05.007"
"32640934","Propensity score specification for optimal estimation of average treatment effect with binary response","Craycroft JA, Huang J, Kong M.","Stat Methods Med Res. 2020 Dec;29(12):3623-3640. doi: 10.1177/0962280220934847. Epub 2020 Jul 8.","Craycroft JA","Stat Methods Med Res","2020","2020/07/10","","","10.1177/0962280220934847"
"24587587","Plasmode simulation for the evaluation of pharmacoepidemiologic methods in complex healthcare databases","Franklin JM, Schneeweiss S, Polinski JM, Rassen JA.","Comput Stat Data Anal. 2014 Apr;72:219-226. doi: 10.1016/j.csda.2013.10.018.","Franklin JM","Comput Stat Data Anal","2014","2014/03/04","PMC3935334","NIHMS535674","10.1016/j.csda.2013.10.018"
"32002989","Doubly robust tests of exposure effects under high-dimensional confounding","Dukes O, Avagyan V, Vansteelandt S.","Biometrics. 2020 Dec;76(4):1190-1200. doi: 10.1111/biom.13231. Epub 2020 Feb 28.","Dukes O","Biometrics","2020","2020/02/01","","","10.1111/biom.13231"
"34795637","Blood Hemoglobin Substantially Modulates the Impact of Gender, Morbid Obesity, and Hyperglycemia on COVID-19 Death Risk: A Multicenter Study in Italy and Spain","Mayneris-Perxachs J, Russo MF, Ramos R, de Hollanda A, Arxé AA, Rottoli M, Arnoriaga-Rodríguez M, Comas-Cufí M, Bartoletti M, Verrastro O, Gudiol C, Fages E, Giménez M, Gil AG, Bernante P, Tinahones F, Carratalà J, Pagotto U, Hernández-Aguado I, Fernández-Aranda F, Meira F, Castro Guardiola A, Mingrone G, Fernández-Real JM; Obesity-T2DM Covid19 Study Group.","Front Endocrinol (Lausanne). 2021 Nov 2;12:741248. doi: 10.3389/fendo.2021.741248. eCollection 2021.","Mayneris-Perxachs J","Front Endocrinol (Lausanne)","2021","2021/11/19","PMC8593102","","10.3389/fendo.2021.741248"
"16014771","An application of model-fitting procedures for marginal structural models","Mortimer KM, Neugebauer R, van der Laan M, Tager IB.","Am J Epidemiol. 2005 Aug 15;162(4):382-8. doi: 10.1093/aje/kwi208. Epub 2005 Jul 13.","Mortimer KM","Am J Epidemiol","2005","2005/07/15","","","10.1093/aje/kwi208"
"18227100","Invited commentary: variable selection versus shrinkage in the control of multiple confounders","Greenland S.","Am J Epidemiol. 2008 Mar 1;167(5):523-9; discussion 530-1. doi: 10.1093/aje/kwm355. Epub 2008 Jan 27.","Greenland S","Am J Epidemiol","2008","2008/01/30","","","10.1093/aje/kwm355"
"8699212","Inappropriate use of bivariable analysis to screen risk factors for use in multivariable analysis","Sun GW, Shook TL, Kay GL.","J Clin Epidemiol. 1996 Aug;49(8):907-16. doi: 10.1016/0895-4356(96)00025-x.","Sun GW","J Clin Epidemiol","1996","1996/08/01","","","10.1016/0895-4356(96)00025-x"
"27669512","Is Geo-Environmental Exposure a Risk Factor for Multiple Sclerosis? A Population-Based Cross-Sectional Study in South-Western Sardinia","Monti MC, Guido D, Montomoli C, Sardu C, Sanna A, Pretti S, Lorefice L, Marrosu MG, Valera P, Cocco E.","PLoS One. 2016 Sep 26;11(9):e0163313. doi: 10.1371/journal.pone.0163313. eCollection 2016.","Monti MC","PLoS One","2016","2016/09/27","PMC5036813","","10.1371/journal.pone.0163313"
"35696551","Association of corticosteroid use and attention deficit/hyperactivity disorder in asthmatic children varies by age","Xie L, Gelfand A, Mathew MS, Atem FD, Delclos GL, Messiah SE.","J Asthma. 2023 Apr;60(4):698-707. doi: 10.1080/02770903.2022.2089995. Epub 2022 Jun 25.","Xie L","J Asthma","2023","2022/06/13","","","10.1080/02770903.2022.2089995"
"26463818","Low-dimensional confounder adjustment and high-dimensional penalized estimation for survival analysis","Xia X, Jiang B, Li J, Zhang W.","Lifetime Data Anal. 2016 Oct;22(4):547-69. doi: 10.1007/s10985-015-9350-z. Epub 2015 Oct 13.","Xia X","Lifetime Data Anal","2016","2015/10/15","","","10.1007/s10985-015-9350-z"
"33591049","Deep Learning-based Propensity Scores for Confounding Control in Comparative Effectiveness Research: A Large-scale, Real-world Data Study","Weberpals J, Becker T, Davies J, Schmich F, Rüttinger D, Theis FJ, Bauer-Mehren A.","Epidemiology. 2021 May 1;32(3):378-388. doi: 10.1097/EDE.0000000000001338.","Weberpals J","Epidemiology","2021","2021/02/16","","","10.1097/EDE.0000000000001338"
"33290327","A Retrospective Cohort Study of Effects of Antihypertensive and Anticholinergic Medications on Outcomes Following Elective Posterior Lumbar Spine Surgery","Golubovsky JL, Karnuta JM, Lee M, Enders J, Banerjee A, Grits D, Nowacki A, Ilyas H, Steinmetz MP.","Clin Spine Surg. 2021 Jun 1;34(5):E295-E302. doi: 10.1097/BSD.0000000000001110. Epub 2020 Dec 7.","Golubovsky JL","Clin Spine Surg","2021","2020/12/08","","","10.1097/BSD.0000000000001110"
"20671544","Associations of antiretroviral drug use and HIV-specific risk factors with carotid intima-media thickness","Delaney JA, Scherzer R, Biggs ML, Shliplak MG, Polak JF, Currier JS, Kronmal RA, Wanke C, Bacchetti P, O'leary D, Tien PC, Grunfeld C.","AIDS. 2010 Sep 10;24(14):2201-9. doi: 10.1097/QAD.0b013e32833d2132.","Delaney JA","AIDS","2010","2010/07/31","PMC3224487","NIHMS330610","10.1097/QAD.0b013e32833d2132"
"16187596","Risk factors of prolonged postoperative pleural effusion after repair of tetralogy of Fallot","Liang CM, Hwang B, Lu JH, Lee PC, Weng ZC, Ho TY, Meng CC.","J Chin Med Assoc. 2005 Sep;68(9):406-10. doi: 10.1016/s1726-4901(09)70155-8.","Liang CM","J Chin Med Assoc","2005","2005/09/29","","","10.1016/s1726-4901(09)70155-8"
"31246954","Estimating age-stratified influenza-associated invasive pneumococcal disease in England: A time-series model based on population surveillance data","Chiavenna C, Presanis AM, Charlett A, de Lusignan S, Ladhani S, Pebody RG, De Angelis D.","PLoS Med. 2019 Jun 27;16(6):e1002829. doi: 10.1371/journal.pmed.1002829. eCollection 2019 Jun.","Chiavenna C","PLoS Med","2019","2019/06/28","PMC6597037","","10.1371/journal.pmed.1002829"
"20382835","Likelihood-free inference of population structure and local adaptation in a Bayesian hierarchical model","Bazin E, Dawson KJ, Beaumont MA.","Genetics. 2010 Jun;185(2):587-602. doi: 10.1534/genetics.109.112391. Epub 2010 Apr 9.","Bazin E","Genetics","2010","2010/04/13","PMC2881139","","10.1534/genetics.109.112391"
"21170153","Finite Normal Mixture SEM Analysis by Fitting Multiple Conventional SEM Models","Yuan KH, Bentler PM.","Sociol Methodol. 2010 Aug;40(1):191-245. doi: 10.1111/j.1467-9531.2010.01224.x.","Yuan KH","Sociol Methodol","2010","2010/12/21","PMC3002113","NIHMS187824","10.1111/j.1467-9531.2010.01224.x"
"16991105","Seasonal confounding in air pollution and health time-series studies: effect on air pollution effect estimates","Touloumi G, Samoli E, Pipikou M, Le Tertre A, Atkinson R, Katsouyanni K; APHEA-2 Project Group.","Stat Med. 2006 Dec 30;25(24):4164-78. doi: 10.1002/sim.2681.","Touloumi G","Stat Med","2006","2006/09/23","","","10.1002/sim.2681"
"33212347","An evaluation of Hamiltonian Monte Carlo performance to calibrate age-structured compartmental SEIR models to incidence data","Andrade J, Duggan J.","Epidemics. 2020 Dec;33:100415. doi: 10.1016/j.epidem.2020.100415. Epub 2020 Nov 11.","Andrade J","Epidemics","2020","2020/11/19","","","10.1016/j.epidem.2020.100415"
"2335079","Microcomputer-assisted multivariate survival data analysis using Cox's proportional hazards regression model","Campos-Filho N, Franco EL.","Comput Methods Programs Biomed. 1990 Feb;31(2):81-7. doi: 10.1016/0169-2607(90)90054-d.","Campos-Filho N","Comput Methods Programs Biomed","1990","1990/02/01","","","10.1016/0169-2607(90)90054-d"
"27920366","A graphical perspective of marginal structural models: An application for the estimation of the effect of physical activity on blood pressure","Talbot D, Rossi AM, Bacon SL, Atherton J, Lefebvre G.","Stat Methods Med Res. 2018 Aug;27(8):2428-2436. doi: 10.1177/0962280216680834. Epub 2016 Dec 29.","Talbot D","Stat Methods Med Res","2018","2016/12/07","","","10.1177/0962280216680834"
"29663299","Direction dependence analysis: A framework to test the direction of effects in linear models with an implementation in SPSS","Wiedermann W, Li X.","Behav Res Methods. 2018 Aug;50(4):1581-1601. doi: 10.3758/s13428-018-1031-x.","Wiedermann W","Behav Res Methods","2018","2018/04/18","","","10.3758/s13428-018-1031-x"
"26791806","Nonlinear association criterion, nonlinear Granger causality and related issues with applications to neuroimage studies","Tao C, Feng J.","J Neurosci Methods. 2016 Mar 15;262:110-32. doi: 10.1016/j.jneumeth.2016.01.003. Epub 2016 Jan 11.","Tao C","J Neurosci Methods","2016","2016/01/22","","","10.1016/j.jneumeth.2016.01.003"
"28378454","GC-MS metabolomics-based approach for the identification of a potential VOC-biomarker panel in the urine of renal cell carcinoma patients","Monteiro M, Moreira N, Pinto J, Pires-Luís AS, Henrique R, Jerónimo C, Bastos ML, Gil AM, Carvalho M, Guedes de Pinho P.","J Cell Mol Med. 2017 Sep;21(9):2092-2105. doi: 10.1111/jcmm.13132. Epub 2017 Apr 4.","Monteiro M","J Cell Mol Med","2017","2017/04/06","PMC5571542","","10.1111/jcmm.13132"
"21602301","Covariate selection in high-dimensional propensity score analyses of treatment effects in small samples","Rassen JA, Glynn RJ, Brookhart MA, Schneeweiss S.","Am J Epidemiol. 2011 Jun 15;173(12):1404-13. doi: 10.1093/aje/kwr001. Epub 2011 May 20.","Rassen JA","Am J Epidemiol","2011","2011/05/24","PMC3145392","","10.1093/aje/kwr001"
"23259827","Effects of platelet and plasma transfusion on outcome in traumatic brain injury patients with moderate bleeding diatheses","Anglin CO, Spence JS, Warner MA, Paliotta C, Harper C, Moore C, Sarode R, Madden C, Diaz-Arrastia R.","J Neurosurg. 2013 Mar;118(3):676-86. doi: 10.3171/2012.11.JNS12622. Epub 2012 Dec 21.","Anglin CO","J Neurosurg","2013","2012/12/25","","","10.3171/2012.11.JNS12622"
"20375927","Inverse probability weighting in sexually transmitted infection/human immunodeficiency virus prevention research: methods for evaluating social and community interventions","Lippman SA, Shade SB, Hubbard AE.","Sex Transm Dis. 2010 Aug;37(8):512-8. doi: 10.1097/OLQ.0b013e3181d73feb.","Lippman SA","Sex Transm Dis","2010","2010/04/09","PMC3130016","NIHMS297438","10.1097/OLQ.0b013e3181d73feb"
"31111682","Controlling for confounding via propensity score methods can result in biased estimation of the conditional AUC: A simulation study","Galadima HI, McClish DK.","Pharm Stat. 2019 Oct;18(5):568-582. doi: 10.1002/pst.1948. Epub 2019 May 20.","Galadima HI","Pharm Stat","2019","2019/05/22","","","10.1002/pst.1948"
"20087727","Time-resolved biomarker discovery in 1H-NMR data using generalized fuzzy Hough transform alignment and parallel factor analysis","Alm E, Torgrip RJ, Aberg KM, Schuppe-Koistinen I, Lindberg J.","Anal Bioanal Chem. 2010 Mar;396(5):1681-9. doi: 10.1007/s00216-009-3421-5. Epub 2010 Jan 20.","Alm E","Anal Bioanal Chem","2010","2010/01/21","","","10.1007/s00216-009-3421-5"
"17980328","Predictors of leiomyoma recurrence after laparoscopic myomectomy","Yoo EH, Lee PI, Huh CY, Kim DH, Lee BS, Lee JK, Kim D.","J Minim Invasive Gynecol. 2007 Nov-Dec;14(6):690-7. doi: 10.1016/j.jmig.2007.06.003.","Yoo EH","J Minim Invasive Gynecol","2007","2007/11/06","","","10.1016/j.jmig.2007.06.003"
"18988948","Structure inference for Bayesian multisensory scene understanding","Hospedales TM, Vijayakumar S.","IEEE Trans Pattern Anal Mach Intell. 2008 Dec;30(12):2140-57. doi: 10.1109/TPAMI.2008.25.","Hospedales TM","IEEE Trans Pattern Anal Mach Intell","2008","2008/11/08","","","10.1109/TPAMI.2008.25"
"32659549","Association of low-level inorganic arsenic exposure from rice with age-standardized mortality risk of cardiovascular disease (CVD) in England and Wales","Xu L, Polya DA, Li Q, Mondal D.","Sci Total Environ. 2020 Nov 15;743:140534. doi: 10.1016/j.scitotenv.2020.140534. Epub 2020 Jun 29.","Xu L","Sci Total Environ","2020","2020/07/14","","","10.1016/j.scitotenv.2020.140534"
"38516302","What do macroinvertebrate indices measure? Stressor-specific stream macroinvertebrate indices can be confounded by other stressors","Jones JI, Lloyd CEM, Murphy JF, Arnold A, Duerdoth CP, Hawczak A, Pretty JL, Johnes PJ, Freer JE, Stirling MW, Richmond C, Collins AL.","Freshw Biol. 2023 Aug;68(8):1330-1345. doi: 10.1111/fwb.14106. Epub 2023 May 17.","Jones JI","Freshw Biol","2023","2024/03/22","PMC10952762","","10.1111/fwb.14106"
